"location_name","center_lat","center_lng","bounds_northeast_lat","bounds_northeast_lng","bounds_southwest_lat","bounds_southwest_lng","viewport_northeast_lat","viewport_northeast_lng","viewport_southwest_lat","viewport_southwest_lng"
"Ouro Preto do Oeste","-10.7171509","-62.2570616","-10.1170449","-61.8278133","-10.8993878","-62.52525869999999","-10.1170449","-61.8278133","-10.8993878","-62.52525869999999"
"La Courneuve","48.9320252","2.3990819","48.95153939999999","2.4226013","48.9166211","2.3746346","48.95153939999999","2.4226013","48.9166211","2.3746346"
"Toledo, Ohio","41.6528052","-83.5378674","41.732844","-83.454229","41.580266","-83.6942832","41.732844","-83.454229","41.580266","-83.6942832"
"Worcester","52.193636","-2.221575","52.2313919","-2.1573038","52.1616362","-2.2632029","52.2313919","-2.1573038","52.1616362","-2.2632029"
"Custódia","-8.0861654","-37.6402654","-7.8741024","-37.5112665","-8.4209903","-37.8940404","-7.8741024","-37.5112665","-8.4209903","-37.8940404"
"Killeen, Texas","31.1171194","-97.72779589999999","31.14056","-97.65159299999999","31.021491","-97.822125","31.14056","-97.65159299999999","31.021491","-97.822125"
"Columbus, Ohio","39.9611755","-82.99879419999999","40.1572719","-82.77137809999999","39.808631","-83.2102799","40.1572719","-82.77137809999999","39.808631","-83.2102799"
"Pasco, Washington","46.2305049","-119.0922316","46.295782","-119.023494","46.192856","-119.2677431","46.295782","-119.023494","46.192856","-119.2677431"
"Araçoiaba","-4.371982","-38.8104556","-4.3568118","-38.7950463","-4.377282399999999","-38.81727679999999","-4.3568118","-38.7950463","-4.377282399999999","-38.81727679999999"
"Itapeva","-23.9841217","-48.8811572","-23.9598452","-48.8535429","-24.004122","-48.910864","-23.9598452","-48.8535429","-24.004122","-48.910864"
"Troyes","48.2973451","4.0744009","48.318586","4.1111602","48.26620339999999","4.041108599999999","48.318586","4.1111602","48.26620339999999","4.041108599999999"
"Itanhém","-17.1658381","-40.3303698","-16.8768087","-40.1178249","-17.2837062","-40.5791586","-16.8768087","-40.1178249","-17.2837062","-40.5791586"
"Tournefeuille","43.5829","1.346834","43.5949612","1.377019","43.5543729","1.2904898","43.5949612","1.377019","43.5543729","1.2904898"
"Santo Antônio","-19.9450382","-43.9440778","-19.9356287","-43.937546","-19.9511701","-43.9493215","-19.9356287","-43.937546","-19.9511701","-43.9493215"
"Campina Grande","-7.2206167","-35.8888328","-7.1790375","-35.8483747","-7.3066378","-35.954754","-7.1790375","-35.8483747","-7.3066378","-35.954754"
"Poconé","-16.2645026","-56.6281145","-16.2425256","-56.61417890000001","-16.2806331","-56.6537525","-16.2425256","-56.61417890000001","-16.2806331","-56.6537525"
"Itapetininga","-23.5731002","-48.01785719999999","-23.408385","-47.8072143","-23.8613847","-48.4085724","-23.408385","-47.8072143","-23.8613847","-48.4085724"
"West Haven, Connecticut","41.2705484","-72.9469711","41.313297","-72.9202459","41.2326969","-72.994598","41.313297","-72.9202459","41.2326969","-72.994598"
"Miracema","-21.4164739","-42.2022675","-21.393536","-42.1768272","-21.445458","-42.2088471","-21.393536","-42.1768272","-21.445458","-42.2088471"
"Largo, Florida","27.9094665","-82.7873244","27.9432791","-82.6962789","27.875044","-82.8454139","27.9432791","-82.6962789","27.875044","-82.8454139"
"Ouro Branco","-20.523549","-43.691394","-20.430279","-43.580123","-20.6216431","-43.7998199","-20.430279","-43.580123","-20.6216431","-43.7998199"
"Mirador","-6.3715427","-44.3616876","","","","","-6.370193719708498","-44.3603386197085","-6.372891680291502","-44.3630365802915"
